id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price_period,title,paga_comision
vz/dYJl3t6dAAhuCMR9pFg==,Propiedad,2020-03-21,9999-12-31,2020-03-21,-34.378946929899996,-58.5543996478,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,,,,4.0,3.0,2.0,,,,"Casa en Venta en Primera sección, Tigre U$S 190000",no paga
7WuevfRjW78WomnkinRSAA==,Propiedad,2019-05-22,9999-12-31,2019-05-22,-34.4322223,-58.5739826,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,,,,3.0,,1.0,120.0,105.0,Mensual,Casa en venta en Tigre con dos dormitorios y jardin,no paga
zZlOOuCPY//CPsAuwgfICA==,Propiedad,2019-10-13,2019-10-28,2019-10-13,-34.59324,-58.44416,Argentina,Capital Federal,Villa Crespo,,,,,2.0,2.0,230.0,230.0,,Casa de 3 ambientes en Venta en Villa crespo,no paga
dZmdfoiNyUCOgDbRXIuPCg==,Propiedad,2020-01-10,9999-12-31,2020-01-10,-34.5202226919,-58.7383899675,Argentina,Bs.As. G.B.A. Zona Norte,José C Paz,,,,4.0,,1.0,63.0,63.0,Mensual,DUPLEX A ESTRENAR/ 2 DORMITORIOS / Jose C Paz,no paga
nt8/Rc6J4m3all/FkfX0gQ==,Propiedad,2019-04-03,2020-04-16,2019-04-03,-37.9714099,-57.559851,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,8.0,6.0,,,,,Inmueble en block en Venta. 8 Amb. 6 Dor,no paga
QbBQr0k/qf8mwoqNu1UrXg==,Propiedad,2019-05-18,9999-12-31,2019-05-18,-34.771724912399996,-58.4170690037,Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,,,,,,,,,Mensual,""" Apto Credito * Casa T/ Duplex de 5 Amb c/ Cocheras",no paga
G7bvB7Eqlf0A2aaXd2K2oA==,Propiedad,2019-11-30,9999-12-31,2019-11-30,-34.9060076,-54.9724559,Uruguay,Maldonado,Punta del Este,,,,3.0,,1.0,,90.0,Mensual,2 DORMITORIOS | Pinares - Punta del Este,no paga
4X8J+K9JRfO080QqPtQaVA==,Propiedad,2019-08-20,2020-05-04,2019-08-20,-31.363155,-64.3413533,Argentina,Córdoba,La Calera,,,,,,1.0,100.0,100.0,Mensual,La calera -DUPLEX  HOUSING CERRADO - 2 Dormitorios - Los Prados II - APTO CREDITO HIPOTECARIO - ULTIMAS UNIDADES!!,no paga
JW/zIFZ41uhn1ZxlPLgnag==,Propiedad,2019-07-14,2020-05-29,2019-07-14,-34.607975,-58.69205,Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,,,,,,2.0,475.0,134.0,Mensual,CASA EN VENTA,no paga
DHGxNthMAqpXdQ8EGZ4h5w==,Propiedad,2019-11-26,2020-03-29,2019-11-26,,,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Haedo,,,4.0,3.0,2.0,156.0,165.0,,CASA EN VENTA 4 AMBIENTES CON GARAGE EN HAEDO,no paga
pt+sostVKoE/m6QLPWWZGg==,Propiedad,2019-11-29,9999-12-31,2019-11-29,-34.9063588663,-54.8388147354,Uruguay,Maldonado,Punta del Este,,,,6.0,,4.0,,360.0,Mensual,5 DORMITORIOS | CLUB LAGUNA BLANCA - MANANTIALES,paga
G0ynZtcc/TRw7d2ODm3W2w==,Propiedad,2019-11-30,2020-04-30,2019-11-30,-34.7806395,-58.4104252,Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,,,,2.0,1.0,1.0,,,,"Casa en Venta en Temperley,  lomas de zamora  U$S 80000",no paga
ZBoNCxg5LuGY5EGSn2BiQg==,Propiedad,2020-01-28,2020-05-20,2020-01-28,-34.487320200000006,-58.686725100000004,Argentina,Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,Los Polvorines,,,3.0,2.0,1.0,,,,"Casa en Venta en El lucero, Los polvorines U$S 85000",no paga
