id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price_period,title,paga_comision
YNsMDAiJDbpSUbOHt+rSvQ==,Propiedad,2020-04-04,9999-12-31,2020-04-04,-34.5964777173,-58.584692178900006,Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,,,,4.0,3.0,3.0,,,,Triplex en Venta en Ciudad Jardin,no paga
BoKiYfTPcZ8LpdTSuS7PVA==,Propiedad,2019-07-04,9999-12-31,2019-07-04,-34.497769500000004,-58.714839899999994,Argentina,Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,Grand Bourg,,,4.0,,1.0,120.0,120.0,Mensual,Casa - Grand Bourg,no paga
sUU+KBSqGEYMNmENHFLomA==,Propiedad,2019-11-29,9999-12-31,2019-11-29,-34.741346899999996,-58.39968929999999,Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,Banfield,,,4.0,0.0,1.0,,,,"Casa en Venta en Banfield oeste,  banfield  U$S 350000",no paga
4aFQ09OzllVbPl57kB7oCQ==,Propiedad,2019-09-03,9999-12-31,2019-09-03,-34.6231792282,-58.5193981588,Argentina,Capital Federal,Versalles,,,,4.0,,2.0,230.0,126.0,Mensual,Casa 4 ambientes Reciclada a nueva en Impecable estado!!!,no paga
bczZnJ0pADQI2XNR4ivWvg==,Propiedad,2019-04-30,9999-12-31,2019-04-30,-37.977328899999996,-57.557187199999994,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,1.0,150.0,100.0,,Chalet en Venta. 3 Amb. 2 Dor. 150 M2. 100 M2 Cub,no paga
0D2Aj3O4F2qhYWQ2Cinm8A==,Propiedad,2019-03-26,9999-12-31,2019-03-26,-34.58429337,-58.48426819,Argentina,Capital Federal,Villa Urquiza,,,,2.0,,1.0,87.0,52.0,,Tte Cnel J P Giribone  3100 PB - U$D 189.000 - Tipo casa PH en Venta,no paga
bCodl7WfEHaCxkfJoPXEew==,Propiedad,2019-08-09,9999-12-31,2019-08-09,-34.6771759535,-58.574473829300004,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,San Justo,,,,,,200.0,100.0,Mensual,"CASA DE TRES AMBIENTES EN SAN JUSTO, CON PATIO Y COCHERA",no paga
cMVsUVFOFWyPNDg/1/5ssg==,Propiedad,2020-01-02,9999-12-31,2020-01-02,-34.582972999999996,-58.5090799,Argentina,Capital Federal,Villa Pueyrredón,,,,6.0,,2.0,,150.0,Mensual,Casa - Villa Pueyrredon IMPECABLE 6 amb o dpto extra!,no paga
1SWsqB+R5igYO1H7QmeT4g==,Propiedad,2019-09-12,9999-12-31,2019-09-12,-34.6471279,-58.5212878,Argentina,Capital Federal,Liniers,,,,4.0,,3.0,264.0,190.0,Mensual,Casa - Liniers,no paga
JWmDyFgxedf6+LO4tkU7Hg==,Propiedad,2019-08-05,2019-11-05,2019-08-05,-34.449444,-58.916883999999996,Argentina,Bs.As. G.B.A. Zona Norte,Escobar,,,,4.0,3.0,2.0,443.0,150.0,,CASA VENTA COUNTRY CAMPO CHICO PILAR,no paga
q0zisfIGVttaLlFr2dFNGg==,Propiedad,2020-01-27,9999-12-31,2020-01-27,,,Argentina,Capital Federal,,,,,8.0,6.0,4.0,,,,CHALET ESTILO MARPLATENSE BARRIO STELLA MARIS,no paga
Vdn1D4+6Z6dGwxviJ58LBQ==,Propiedad,2020-04-06,9999-12-31,2020-04-06,-34.7220120875,-58.277401937700006,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,,,,3.0,2.0,2.0,,,,Chalet en Venta en Quilmes Oeste,no paga
qoNRKvLzBhm/Opdf+5Cj2g==,Propiedad,2019-04-24,2020-01-18,2019-04-24,-34.8363156,-56.147997499999995,Uruguay,Montevideo,,,,,3.0,3.0,1.0,72.0,72.0,Mensual,CASA EN VENTA,no paga
lhXkg2in7fvNqT4kYwu7eQ==,Propiedad,2019-06-27,9999-12-31,2019-06-27,,,Argentina,Bs.As. G.B.A. Zona Norte,San Isidro,Beccar,,,,5.0,4.0,450.0,300.0,,"Casa 450m² con Cochera en ACASSUSO 2200, San Isidro, Beccar, por U$S 650.000",no paga
FnpmEp/Q5TPcY7tXJpSOZA==,Propiedad,2019-09-11,9999-12-31,2019-09-11,-34.9061591,-54.838747999999995,Uruguay,Maldonado,Manantiales,,,,4.0,,2.0,220.0,,Mensual,Casa - Laguna Blanca,no paga
Oqfj5g4cH8PGE7K1HVJJqQ==,Propiedad,2020-04-10,2020-04-16,2020-04-10,-34.4187004689,-58.5844124915,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Tigre,,,,3.0,2.0,570.0,210.0,,Tigre Residencial -Casa en venta - gran terreno,no paga
pheVdtG+TM1Sfp8tkzOU6g==,Propiedad,2020-03-15,2020-03-15,2020-03-15,-34.6053461,-58.47943910000001,Argentina,Capital Federal,Villa del Parque,,,,,2.0,1.0,,147.0,Mensual,venta lote 8.66 x 21.13,no paga
5NkD+ZrXvE5OzeFQl+Z+qA==,Propiedad,2019-04-30,2019-11-10,2019-04-30,-32.481708000000005,-69.367175,Argentina,Mendoza,Las Heras,,,,4.0,3.0,1.0,1236.0,110.0,,CASA EN SAN ALBERTO - USPALLATA,no paga
udW3Sk82gUOm53fCb/tKXg==,Propiedad,2019-04-29,2019-10-08,2019-04-29,-37.955254100000005,-57.5650298,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,1.0,250.0,130.0,,Chalet 3 Ambientes barrio Caisamar,no paga
QdYSbUZu8mnmc7SggY82hg==,Propiedad,2020-03-25,9999-12-31,2020-03-25,,,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,,,,1.0,0.0,2.0,,,,Casa - Countries/B.Cerrado,no paga
dkfKqriGl1B7dSbqBFDgvQ==,Propiedad,2020-01-04,2020-02-13,2020-01-04,-34.361227570100006,-58.7508257013,Argentina,Bs.As. G.B.A. Zona Norte,Escobar,Barrio San Matías,,,,3.0,3.0,987.0,190.0,,CASA SAN MATIAS VENTA - ESCOBAR - A ESTRENAR - 3 DORM - AREA 5,no paga
