id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price_period,title,paga_comision
RDfa+E7upD0n5pptEfHdMg==,Propiedad,2020-01-08,2020-01-11,2020-01-08,-37.9998596,-57.555031299999996,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,,,1.0,,,,Venta depto dos ambientes con frente abierto,no paga
mL0EoZeEqENVokwugUrtow==,Propiedad,2020-01-17,2020-01-21,2020-01-17,-34.566363,-58.438766,Argentina,Capital Federal,Palermo,,,,4.0,3.0,1.0,81.0,75.0,,VENTA 4 AMBIENTES C COCHERA FIJA MUY LUMINOSO,paga
hOZOY5Bo9FzB3IR8V6TtiA==,Propiedad,2019-11-15,9999-12-31,2019-11-15,-37.1068645,-56.862299699999994,Argentina,Buenos Aires Costa Atlántica,Pinamar,,,,1.0,,1.0,30.0,30.0,,Monoambiente con entrepiso-A 150 mts de Av- Shaw-,no paga
JKfw+/BUerJ7cNjors3UBQ==,Propiedad,2019-07-14,9999-12-31,2019-07-14,,,Uruguay,Montevideo,,,,,3.0,2.0,1.0,62.0,54.0,Mensual,DEPARTAMENTO EN VENTA,no paga
SBDKF7R+J2C+n4gWm4JrOw==,Propiedad,2020-02-10,2020-04-28,2020-02-10,,,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,,,,,,2.0,,,,Departamento 3 ambientes a estrenar. Oportunidad Unica!,no paga
OFvEOzTKbgr9FQ5wTfmUww==,Propiedad,2019-12-09,9999-12-31,2019-12-09,-34.754458500000005,-58.4021976,Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,,,,2.0,,1.0,,45.0,Mensual,Departamento - Lomas De Zamora,no paga
5fFyfQFb2VB/Kj6NC9Z89w==,Propiedad,2019-11-14,9999-12-31,2019-11-14,-31.404909000000004,-64.1697276,Argentina,Córdoba,Córdoba,Nueva Córdoba,,,3.0,,1.0,75.0,60.0,Mensual,Departamento - Nueva Cordoba - 2 dormitorios,no paga
HjzJG52xByRBmxQ0mP3TPg==,Propiedad,2020-01-08,2020-02-19,2020-01-08,-32.9593261,-60.650232700000004,Argentina,Santa Fe,Rosario,,,,,,1.0,,,,DEPTO A ESTRENAR 1 DORMITORIO - BALCON Y TERRAZA EXCLUSIVA - MACROCENT,no paga
H5tkChpZJLaaX1jVR2BFsQ==,Propiedad,2019-06-16,2020-03-04,2019-06-16,-37.1164846975,-56.856591209799994,Argentina,Buenos Aires Costa Atlántica,Pinamar,,,,2.0,1.0,1.0,54.0,54.0,,"DEPARTAMENTO A ESTRENAR EN VENTA - PINAMAR, ZONA CENTRO PLAYA",no paga
doaylrHbbCeJf0oGfq6mqQ==,Propiedad,2020-01-21,2020-04-27,2020-01-21,-34.94348526,-57.93745041,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,,,,,,1.0,,,,74 E/ 17 Y   100 - U$D 55.000 - Departamento en Venta,no paga
Yc+b+sN8o527VBSqVUDHOQ==,Propiedad,2019-08-15,2020-02-13,2019-08-15,-34.75988007,-58.20671082,Argentina,Bs.As. G.B.A. Zona Sur,Berazategui,Berazategui,,,3.0,,2.0,112.0,,,151  1300 9°  - U$D 240.370 - Departamento en Venta,no paga
N7jTO/oA7l8xT+zGkNzpAA==,Propiedad,2020-02-01,2020-02-02,2020-02-01,-31.41300201,-64.1628418,Argentina,Córdoba,,,,,,,1.0,,,,24 De Septiembre  1500 - U$D 67.000 - Departamento en Venta,no paga
NuJDNGzvGsx8JGDXwQOR2g==,Propiedad,2019-11-16,2019-12-23,2019-11-16,-34.5407354,-58.4773119,Argentina,Capital Federal,Nuñez,,,,5.0,4.0,3.0,130.0,118.0,,VEDIA 2600 / NUÑEZ / VENTA  5 AMBIENTES CON COCHERA,paga
7GxHNxQ5b944WRzkhmAwdA==,Propiedad,2019-06-03,9999-12-31,2019-06-03,-34.9341594,-54.93848829999999,Uruguay,Maldonado,Punta del Este,,,,4.0,3.0,3.0,198.0,198.0,Mensual,DEPARTAMENTO EN VENTA,paga
v7AwRq6ifFWrekoBfsldYA==,Propiedad,2019-09-11,2020-01-20,2019-09-11,-34.600883,-58.472503,Argentina,Capital Federal,Villa Crespo,,,,3.0,2.0,1.0,50.0,47.0,,DEPARTAMENTO en VENTA VILLA CRESPO 3 AMB c/ BALCÓN,no paga
gTn79b8WOcK+lI5DaL6c3A==,Propiedad,2019-07-03,9999-12-31,2019-07-03,-34.5070498,-58.479527299999994,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Olivos,,,1.0,,1.0,25.0,25.0,Mensual,Departamento - Olivos,no paga
hXOticol8w0uxQM9rqlHGw==,Propiedad,2020-01-07,2020-01-18,2020-01-07,-34.653491700000004,-58.6378799,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Castelar,,,3.0,2.0,1.0,,,,Venta de excelente departamento de 3 ambientes en Castelar ,no paga
UoJJSarRNRc4vDzGr7+Mnw==,Propiedad,2019-11-09,2019-11-09,2019-11-09,-34.62153,-58.3617522,Argentina,Capital Federal,Puerto Madero,,,,3.0,2.0,3.0,124.0,116.0,Mensual,VENTA DEPARTAMENTO 3 AMB 2 SUITES PUERTO MADERO TORRES ART MARIA PISO 19 FULL AMENITIES,paga
LmOe7GOCsb53hIXIU53hxA==,Propiedad,2019-12-30,2020-04-27,2019-12-30,-34.927344,-57.953485,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,,,,,,1.0,,,,Calle 16 entre 57 y 58 - Apto Banco,no paga
+0RNpy69KVBXxI8jfpTQTQ==,Propiedad,2019-12-15,2020-03-16,2019-12-15,-34.60258102,-58.49539948,Argentina,Capital Federal,Villa del Parque,,,,2.0,,2.0,109.0,,,Nazarre   3200 1°  - U$D 340.000 - Departamento en Venta,paga
Ulxs52FuYJHtMl/BA59rqQ==,Propiedad,2019-12-02,9999-12-31,2019-12-02,-34.557254,-58.445597,Argentina,Capital Federal,Belgrano,,,,5.0,,5.0,235.0,202.0,Mensual,Departamento - Belgrano Chico,paga
af+HNHaTMm8XtryoHQs+qQ==,Propiedad,2019-12-19,2019-12-23,2019-12-19,-34.519687100000006,-58.48548420000001,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Vicente López,,,1.0,,,42.0,38.0,,MAIPU 1800,no paga
KimaGM3jJzqNCyu0UjaXVA==,Propiedad,2020-01-03,2020-03-04,2020-01-03,-34.5458023894,-58.4965968132,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Villa Martelli,,,3.0,,1.0,47.0,43.0,Mensual,Departamento APTO CRÉDITO a 1 cuadra de Panamericana y General Paz,no paga
Nc6Z2PYu9ch+6aXWlrZX5A==,Propiedad,2019-10-04,2019-12-24,2019-10-04,-34.6154314,-58.383426,Argentina,Capital Federal,Monserrat,,,,1.0,,1.0,,33.0,Mensual,"Ideal Renta Temporal! Práctico monoambiente muy bien ubicado (1º cuerpo, 5ºB)",no paga
Bn+tf1CqfKyJgF6R3nFp3g==,Propiedad,2020-01-15,9999-12-31,2020-01-15,-34.581263,-58.442236,Argentina,Capital Federal,Palermo,,,,2.0,,2.0,,,,"Departamento  en Venta ubicado en Palermo, Capital Federal",paga
YrUYcLcz5Xvf/BVAI80c/w==,Propiedad,2020-01-23,2020-06-05,2020-01-23,-32.8882786,-68.85769,Argentina,Mendoza,,,,,5.0,4.0,5.0,,,,"Departamento en Venta, Mendoza U$S 480000",paga
k5KGN3osNuDl0sPsLaZDMw==,Propiedad,2020-03-28,2020-04-03,2020-03-28,-34.5943495435,-58.438967043000005,Argentina,Capital Federal,Villa Crespo,,,,2.0,1.0,1.0,36.0,36.0,,Departamento de 2 ambientes en Venta en Villa crespo,no paga
4rde5VlAeQ7MxFFPqH39Iw==,Propiedad,2020-01-27,9999-12-31,2020-01-27,-32.9478948,-60.6315037,Argentina,Santa Fe,Rosario,,,,10.0,4.0,2.0,177.0,177.0,,CORDOBA AL 600 | DEPARTAMENTO DE CATEGORIA FRENTE AL MONUMENTO CON AMPLIA COCHERA,paga
3byr/lGhRHSH4rhp6ZTYjw==,Propiedad,2020-04-04,9999-12-31,2020-04-04,-34.722888007399995,-58.2553320796,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,,,,2.0,1.0,1.0,,,,Departamento en Venta en Quilmes Centro,no paga
tuIB9WftKDAnUg1bOQxpaw==,Propiedad,2020-01-23,2020-04-28,2020-01-23,-37.9887651,-57.560902600000006,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,,,1.0,,,,DEPARTAMENTO 2 AMBIENTES CON CON BALCÓN. COCHERA Y BAULERA. EN POZO,no paga
Ur4oPXe/CPrPJp1zj0Fdaw==,Propiedad,2020-02-13,9999-12-31,2020-02-13,-34.571521999999995,-58.459552,Argentina,Capital Federal,Belgrano,,,,3.0,,2.0,,,,"Departamento Duplex  en Venta ubicado en Belgrano R, Capital Federal",paga
SycxGKRSkA3WIaCmyDepJw==,Propiedad,2020-01-20,2020-01-20,2020-01-20,-38.000007000000004,-57.545607,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,,,1.0,,,Mensual,DEPTO. 2 AMB. SGO. DEL ESTERO 1700,no paga
e2BFljYv6CZJCYoXTYL2/w==,Propiedad,2019-05-14,9999-12-31,2019-05-14,-38.0015985,-57.5541344,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,4.0,3.0,2.0,70.0,,,SEMI PISO 4 AMBIENTES ,no paga
0bcJMzafM03tlpry4MKlHw==,Propiedad,2020-01-19,2020-02-14,2020-01-19,-34.435545,-58.795528000000004,Argentina,Bs.As. G.B.A. Zona Norte,Pilar,,,,2.0,1.0,2.0,,,,OPPEL | Departamento en Venta | Cod: 27481,no paga
qjgYLXXj/pl+Z76F+OWIcw==,Propiedad,2020-01-08,2020-02-19,2020-01-08,-38.007211600000005,-57.55173370000001,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,,,2.0,,,,Departamento en Venta- 3 ambientes al frente con cochera para 1 auto-,no paga
J72PEQk8Yoo1Y3r9iA16ow==,Propiedad,2019-11-14,9999-12-31,2019-11-14,,,Argentina,Bs.As. G.B.A. Zona Norte,Tigre,,,,3.0,2.0,2.0,,,,"Departamento en Venta, Tigre U$S 153750",no paga
uJ0+qU+VtLFMzXJxZRYBsw==,Propiedad,2020-01-23,2020-04-28,2020-01-23,,,Argentina,Capital Federal,,,,,,,1.0,,,,Departamento en venta en Caseros,no paga
jHAtU8pJEpZmqGj7JZaGpg==,Propiedad,2019-09-30,2019-11-29,2019-09-30,-34.5881581741,-58.4129942724,Argentina,Capital Federal,Palermo,,,,,3.0,1.0,100.0,90.0,Mensual,Alto Palermo. Categoría. 100 m2 al frente. 3 dorm. 2 Baños. Balcón. Cochera y Baul. Impecable.,paga
JdRkaDbwmA82vo0wV8Nh+A==,Propiedad,2020-01-20,9999-12-31,2020-01-20,-32.9535785,-60.641926,Argentina,Capital Federal,,,,,2.0,1.0,1.0,,,,VENTA DEPARTAMENTO DE 1 DORMITORIO - AMPLIOS ESPACIOS DE USO COMÚN - FINANCIACIÓN,no paga
b73ZJAvGiBO6hfBk2cbQhQ==,Propiedad,2020-03-09,9999-12-31,2020-03-09,-34.6085833,-58.417515,Argentina,Capital Federal,Caballito,,,,,1.0,1.0,46.0,43.0,Mensual,"Departamento en Venta en Almagro 2 ambientes 43 m2 + balcón, edificio con amenities - Mario Bravo 200",no paga
5kaL6HdvYRH76iTSuvO9TQ==,Propiedad,2020-01-10,2020-04-28,2020-01-10,-31.4158185,-64.19743000000001,Argentina,Córdoba,,,,,,,1.0,,,,"Departamento en venta, Alberdi, Avda Duarte Quiros 900",no paga
M8EKyGSmcEiZqzyy3IBlfQ==,Propiedad,2019-07-01,2019-12-06,2019-07-01,-34.6165028,-58.384570700000005,Argentina,Capital Federal,Monserrat,,,,2.0,,1.0,33.0,27.0,Mensual,Departamento - Monserrat,no paga
8DqLGKyiGUfyTambPWmrRg==,Propiedad,2019-09-21,2020-05-04,2019-09-21,-34.587005,-58.450170400000005,Argentina,Capital Federal,Chacarita,,,,1.0,,1.0,35.0,32.0,Mensual,Departamento - Chacarita  - MODERNO con piscina!!,no paga
V3paCDZQFdLkRKuDIhTARg==,Propiedad,2019-11-16,9999-12-31,2019-11-16,-34.62045560000001,-58.43907339999999,Argentina,Capital Federal,Caballito,,,,1.0,,1.0,35.0,35.0,Mensual,"Excelente Monoambiente A ESTRENAR, EXCELENTE UBICACIÓN",no paga
jThBGF3bz1mVSavYcVBNzA==,Propiedad,2019-11-26,2020-05-15,2019-11-26,-34.6106526,-58.4421132,Argentina,Capital Federal,Caballito,,,,2.0,1.0,2.0,,,,"Departamento en Venta en Caballito, Capital federal U$S 133950",no paga
J1oe6YLjkVwaL53y9E3vRQ==,Propiedad,2019-05-17,2020-03-10,2019-05-17,-34.64082718,-58.55638123,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Ramos Mejía,,,2.0,,2.0,104.0,100.0,,Bartolome Mitre   500 1°  - U$D 320.000 - Departamento en Venta,paga
AmsyJ5FkMl2DYjOTVDBYGQ==,Propiedad,2020-01-04,2020-01-24,2020-01-04,-34.599793,-58.44062389999999,Argentina,Capital Federal,Villa Crespo,,,,3.0,2.0,1.0,70.0,63.0,,Departamento de 3 ambientes en Venta en Villa crespo,no paga
/ADP8O+NaO+/V0T1VFN5PA==,Propiedad,2019-11-08,2020-02-09,2019-11-08,-34.577234000000004,-58.430005,Argentina,Capital Federal,Palermo,,,,3.0,2.0,1.0,67.0,59.0,,Venta Depto 3 Ambientes - Palermo,no paga
GodUmkWaFFuvsQWwBo50Xw==,Propiedad,2019-11-07,2019-11-16,2019-11-07,-34.58110428,-58.43299866,Argentina,Capital Federal,Palermo,Palermo Hollywood,,,,,1.0,43.0,40.0,,Fitz Roy  2000 1°  - U$D 103.000 - Departamento en Venta,no paga
VWXhhd0AdWCO9ip/23VjDQ==,Propiedad,2020-03-21,2020-04-08,2020-03-21,-34.7446112,-58.3917316,Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,Banfield,,,1.0,1.0,,,,,"Departamento en Venta en Banfield este,  banfield  U$S 75000",no paga
j6aO04bRRanGBAppBB6UPQ==,Propiedad,2020-01-19,2020-05-29,2020-01-19,-34.5921207,-58.4010691,Argentina,Capital Federal,Barrio Norte,,,,3.0,2.0,1.0,,,,3 AMBIENTES FRENTE AL HOSPITAL ALEMAN,no paga
qdeaaW8QoZpYivyt2eNZBw==,Propiedad,2020-03-21,9999-12-31,2020-03-21,-34.6290077,-58.458512600000006,Argentina,Capital Federal,Flores,,,,1.0,1.0,1.0,,,,Venta de Departamento 1 AMBIENTE en Flores,no paga
