id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price_period,title,paga_comision
hKTkEMeJTcR2Xh0wGtWEqw==,Propiedad,2019-10-12,2019-12-23,2019-10-12,-34.5179219,-58.473997100000005,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Vicente López,,,3.0,2.0,2.0,80.0,69.0,,"Departamento en Venta, ubicado en Vicente López, cerca de la estación.",no paga
p/vg0IzaN/Anc0Tb5xuX9w==,Propiedad,2019-12-04,2020-05-04,2019-12-04,-34.66844129999999,-58.574670999999995,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Villa Luzuriaga,,,2.0,,1.0,44.0,44.0,Mensual,Departamento - Villa Luzuriaga,no paga
60jA1rKFM4nzZ4ZotcXAmg==,Propiedad,2020-02-01,2020-02-02,2020-02-01,-34.94556978,-57.94595003,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,,,,,,1.0,,,,"Departamento en Venta, 75mts, 2 dormitorios 66814",no paga
l/xHGfaT1EMLCqp2kyynSA==,Propiedad,2020-04-04,9999-12-31,2020-04-04,-34.586835700500004,-58.588544303999996,Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,,,,3.0,2.0,2.0,,,,Departamento en Venta en Martin Coronado,no paga
vnwg9yW/hQE98tyZdia9jQ==,Propiedad,2019-04-30,2019-11-28,2019-04-30,-34.585224,-58.42685899999999,Argentina,Capital Federal,Palermo,,,,2.0,1.0,1.0,59.0,47.0,,Departamento Venta Palermo Soho 2 ambientes PATIO,no paga
65etNbsFB3SwGA2ohqDZpA==,Propiedad,2019-12-13,2019-12-17,2019-12-13,-34.579355,-58.470803000000004,Argentina,Capital Federal,Villa Ortuzar,,,,3.0,2.0,1.0,42.0,42.0,,IMPECABLE DEPARTAMENTO 3 AMBIENTES,no paga
uOuGcKin4bP9zGvG46AJsw==,Propiedad,2020-03-03,9999-12-31,2020-03-03,-34.4733789,-58.5112333,Argentina,Bs.As. G.B.A. Zona Norte,San Isidro,,,,3.0,2.0,2.0,70.0,69.0,Mensual,Ayres de San Isidro - Departamento en Venta - 3 amb. con cochera,no paga
l6w1Nig4m4d9qI8vmP4o3w==,Propiedad,2020-04-01,2020-04-03,2020-04-01,,,Argentina,Capital Federal,Palermo,,,,3.0,2.0,1.0,72.0,64.0,,Departamento de 3 ambientes en Venta en Palermo,no paga
qirj/Y47iN2cr6HoxSoFbg==,Propiedad,2019-09-18,2019-10-08,2019-09-18,-34.589690999999995,-58.40397900000001,Argentina,Capital Federal,Barrio Norte,,,,2.0,1.0,1.0,37.0,31.0,,Venta ideal primer vivienda en Barrio Norte,no paga
b64pEmo8VyiqZNNsPYreKg==,Propiedad,2019-12-27,2019-12-27,2019-12-27,-38.0058586,-57.5423215,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,,,2.0,,,Mensual,2 AMB. C/DEPENDENCIA A LA CALLE- BOULEVARD MARITIMO - ARENALES,no paga
